Schanzer Racing Electric e.V.,E,Germany,Ingolstadt,UAS Ingolstadt,http://www.schanzer-racing.de
Chalmers Formula Student Driverless,D,Sweden,Göteborg,TU Chalmers,http://chalmersformulastudent.se
Togliatti Racing Team,C,Russia,Togliatti,Togliatti State University,http://fs.tltsu.ru
Camber Racing,C,India,Chennai,SRM Institute of Science and Techn. - Kattankulathur,http://www.camberracing.com/
EPFL Racing Team - Driverless,D,Switzerland,Lausanne,EPFL Lausanne,https://epflracingteam.ch/
Team Alpha 4ZE,E,India,New Delhi,Jamia Millia Islamia,-
TUW Racing,E,Austria,Wien,TU Vienna,http://racing.tuwien.ac.at
YTU Racing,C,Turkey,Istanbul,TU Yıldız,http://yturacing.com/
OWL Racing-Team,E,Germany,Lemgo,TH Ostwestfalen-Lippe,https://www.owl-racing-team.de
Edinburgh University Formula Student,D,United Kingdom,Edinburgh,University of Edinburgh,http://eufs.eusa.ed.ac.uk
ASHWA RACING ,D,India,Bangalore,R.V. College of Engineering,http://www.ashwaracing.com
Team PVPIT,C,India,Pune,Padmabhooshan Vasantdada Patil IT,-
Arrabona Racing Team,C,Hungary,Győr,Széchenyi István University Györ,http://www.arrabonaracing.hu
Trident Racing,C,India,Ichalkaranji,DKTE’S Textile & Engin. Institute,-
Baltic Racing,C,Germany,Stralsund,UAS Stralsund,http://www.balticracing.de
Yodha Racing ,C,India,Chennai,Hindustan ITS,-
Seagulls Luebeck,C,Germany,Lübeck,Technische Hochschule Lübeck,-
Team Ojas,E,India,Vellore,VIT University - Vellore,http://www.teamojas.com
Formula Student ZHAW,D,Switzerland,Winterthur,Zürcher Hochschule für Angewandte Wissenschaften,-
HorsePower Hannover e.V.,E,Germany,Hannover,Leibniz Universität Hannover,http://www.horsepower-hannover.de
Unical Reparto Corse,C,Italy,Arcavacata di Rende,Università della Calabria,http://www.unicalrepartocorse.it
FSB Racing Team,E,Croatia,Zagreb ,University of Zagreb,https://www.fsb-racing.com/
MAVERICKS RACING,E,India,Mumbai,Thakur College of Engineering and Technology,http://www.mavericksracing.in
UPBracing Team D e.V.,D,Germany,Paderborn,University of Paderborn,-
MIT Driverless,D,United States,Cambridge,Massachusetts Institute of Technology,http://web.mit.edu/fsae/
Tongji DIAN Racing Team,E,China,Shanghai,Tongji University,http://www.dianracing.com
Team Kratos Racing Electric,E,India,Pune,Pimpri Chinchwad CE,http://www.kratos-racing.com
Ampera Racing,E,Brazil,Florianópolis,UF de Santa Catarina,https://amperaracing.com/
Vega Racing Electric,E,India,Bangalore,PES University,-
